product_id,title,category,rating,final_price_with_tax
21850852,Soie,briefs,4.9,460.2
22436508,Bruchi CLUB,briefs,5,1047.84
21903832,U.S. Polo Assn.,casual-shoes,4.1,5072.82
21497770,Puma,casual-shoes,4.1,5898.82
22596522,Vero Moda,dresses,4.3,4482.82
22601210,Nimidiya,dupatta,4.5,1178.82
10135431,Priyaasi,earrings,4.5,1180
22618882,Saraf RS Jewellery,earrings,4.2,4478.099999999999
21992820,PANIT,ethnic-dresses,4.4,9438.82
21888172,Brauch,flats,4,1768.82
21421856,Baggit,handbags,4.4,2348.2
19837040,High Star,jackets,4.1,4423.82
19020572,U.S. Polo Assn.,jackets,4,6488.82
18973728,Levis,jeans,4.4,5190.82
15190770,AMERICAN EAGLE OUTFITTERS,jeans,4,4718.82
18964420,American Bull,jeans,4.5,5072.82
2184914,SUGAR,lipstick,4.3,588.8199999999999
19183770,Crocs,sandals,4.1,3888.1
16042682,Nautica,shirts,4.2,4246.82
13775106,RARE RABBIT,shirts,4.4,3892.8199999999997
