order_item_id,order_id,product_id,quantity,unit_price,discount
1,391,417,7,16405.74,34.76
2,206,95,1,39571.86,6.8
3,366,161,4,5630.33,12.48
4,448,352,3,46976.97,22.57
5,44,352,3,16446.26,14.09
6,115,202,7,47243.38,44.22
7,46,473,1,30638.96,11.44
8,308,360,8,2584.17,30.9
9,368,491,5,47367.45,5.87
10,115,472,9,41380.15,24.71
11,196,442,4,13383.52,37.32
12,347,106,3,49760.85,14.15
13,121,210,4,1535.78,48.81
14,6,128,10,34244.93,22.91
15,197,166,8,19937.98,10.61
16,477,132,7,27894.3,2.61
17,307,182,4,46972.16,48.36
18,190,259,-1,15195.12,19.73
19,253,287,3,9050.67,8.49
20,134,68,6,35541.75,21.65
21,185,66,2,48671.24,14.05
22,265,449,7,41496.5,46.34
23,78,85,6,49728.8,38.18
24,28,337,9,22055.48,9.45
25,459,241,4,35327.55,21.82
26,58,183,8,28086.64,22.89
27,384,48,3,14277.41,41.75
28,498,289,9,29325.3,29.18
29,256,293,1,46028.62,12.31
30,192,14,2,49068.59,6.1
31,426,55,10,7773.4,4.05
32,23,490,8,32934.51,16.47
33,409,167,10,49991.07,45.34
34,29,442,10,32217.84,16.16
35,495,309,2,20003.04,8.9
36,332,437,7,19486.29,20.12
37,463,252,3,36820.88,46.08
38,229,341,10,18436.1,9.99
39,189,289,7,4602.1,21.13
40,238,323,10,2117.86,17.09
41,269,366,4,24816.58,31.48
42,66,224,2,40097.08,15.02
43,470,268,5,28469.93,27.55
44,292,262,1,4814.77,33.04
45,339,300,5,25221.88,5.7
46,361,94,8,2358.41,20.81
47,136,371,5,33545.97,31.19
48,310,447,6,10632.31,3.91
49,7,55,5,993.97,19.75
50,309,236,3,43452.15,48.29
51,354,417,8,18100.37,33.69
52,9,45,7,792.41,5.6
53,432,108,4,7343.19,12.09
54,60,155,9,7493.47,21.09
55,441,379,3,48196.96,23.57
56,171,104,8,41489.59,19.59
57,378,434,1,48976.4,42.43
58,263,284,10,1947.16,19.98
59,366,479,10,40852.79,24.4
60,332,217,1,27707.46,13.39
61,358,60,7,46954.33,17.34
