order_id,customer_id,order_date,order_status,payment_method
1,29.0,2025-12-30,RETURNED,Net Banking
2,93.0,2024-11-15,CANCELLED,Credit Card
3,63.0,2025-03-08,CANCELLED,Net Banking
4,127.0,2025-03-02,CANCELLED,Credit Card
5,267.0,2025-08-01,CANCELLED,UPI
6,480.0,2025-11-15,PLACED,Cash on Delivery
7,267.0,2026-04-12,DELIVERED,Debit Card
8,185.0,2025-12-13,SHIPPED,Credit Card
9,121.0,2025-04-11,SHIPPED,UPI
10,300.0,2024-10-21,PLACED,Credit Card
11,298.0,2025-01-25,RETURNED,Debit Card
12,191.0,2025-01-28,CANCELLED,Credit Card
13,352.0,2024-08-21,PLACED,Credit Card
14,183.0,2026-02-08,PLACED,Debit Card
15,250.0,2025-04-16,DELIVERED,Net Banking
16,376.0,2025-01-25,DELIVERED,Debit Card
17,129.0,2024-09-25,CANCELLED,Cash on Delivery
18,151.0,2025-11-24,RETURNED,Debit Card
19,279.0,2025-03-18,DELIVERED,Cash on Delivery
20,469.0,2026-02-23,RETURNED,Debit Card
21,231.0,2026-02-11,DELIVERED,Net Banking
22,1.0,2025-11-23,SHIPPED,Credit Card
23,318.0,2026-05-11,SHIPPED,UPI
24,370.0,2025-07-30,CANCELLED,Debit Card
25,269.0,2025-11-06,SHIPPED,Cash on Delivery
26,145.0,2025-06-29,PLACED,Credit Card
27,268.0,2025-12-13,SHIPPED,Debit Card
28,448.0,2025-11-12,SHIPPED,Credit Card
29,17.0,2025-04-19,CANCELLED,Cash on Delivery
30,320.0,2025-10-01,DELIVERED,Debit Card
31,311.0,2026-15-45,SHIPPED,Net Banking
32,476.0,2025-08-11,PLACED,UPI
33,286.0,2026-07-30,DELIVERED,Credit Card
34,422.0,2025-10-14,PLACED,UPI
35,40.0,2024-08-16,PLACED,Credit Card
36,372.0,2025-04-30,SHIPPED,Cash on Delivery
37,337.0,2025-04-28,SHIPPED,Cash on Delivery
38,384.0,2025-04-12,RETURNED,UPI
39,346.0,2025-05-03,PLACED,Debit Card
40,406.0,2026-05-07,DELIVERED,Debit Card
41,274.0,2025-07-18,DELIVERED,UPI
42,282.0,2024-12-02,DELIVERED,Net Banking
43,392.0,2025-07-31,DELIVERED,Cash on Delivery
44,124.0,2026-06-01,RETURNED,UPI
45,185.0,2026-03-06,CANCELLED,Credit Card
46,372.0,2025-08-29,PLACED,Cash on Delivery
47,70.0,2025-01-17,DELIVERED,Debit Card
48,110.0,2025-09-24,DELIVERED,Cash on Delivery
49,262.0,2026-01-30,SHIPPED,Credit Card
50,20.0,2024-12-17,DELIVERED,UPI
51,456.0,2026-01-11,DELIVERED,Credit Card
52,293.0,2025-06-05,PLACED,UPI
53,406.0,2025-02-21,RETURNED,Credit Card
54,305.0,2025-06-15,RETURNED,Net Banking
55,41.0,2024-09-01,DELIVERED,UPI
56,451.0,2026-01-02,PLACED,Debit Card
57,383.0,2026-05-30,PLACED,Net Banking
58,28.0,2025-10-24,RETURNED,Cash on Delivery
