order_id,customer_id,order_date,order_status,payment_method
1,29,2025-12-30,RETURNED,Net Banking
2,93,2024-11-15,CANCELLED,Credit Card
3,63,2025-03-08,CANCELLED,Net Banking
4,127,2025-03-02,CANCELLED,Credit Card
5,267,2025-08-01,CANCELLED,UPI
6,480,2025-11-15,PLACED,Cash on Delivery
7,267,2026-04-12,DELIVERED,Debit Card
8,185,2025-12-13,SHIPPED,Credit Card
9,121,2025-04-11,SHIPPED,UPI
10,300,2024-10-21,PLACED,Credit Card
11,298,2025-01-25,RETURNED,Debit Card
12,191,2025-01-28,CANCELLED,Credit Card
13,352,2024-08-21,PLACED,Credit Card
14,183,2026-02-08,PLACED,Debit Card
15,250,2025-04-16,DELIVERED,Net Banking
16,376,2025-01-25,DELIVERED,Debit Card
17,129,2024-09-25,CANCELLED,Cash on Delivery
18,151,2025-11-24,RETURNED,Debit Card
19,279,2025-03-18,DELIVERED,Cash on Delivery
20,469,2026-02-23,RETURNED,Debit Card
21,231,2026-02-11,DELIVERED,Net Banking
22,1,2025-11-23,SHIPPED,Credit Card
23,318,2026-05-11,SHIPPED,UPI
24,370,2025-07-30,CANCELLED,Debit Card
25,269,2025-11-06,SHIPPED,Cash on Delivery
26,145,2025-06-29,PLACED,Credit Card
27,268,2025-12-13,SHIPPED,Debit Card
28,448,2025-11-12,SHIPPED,Credit Card
29,17,2025-04-19,CANCELLED,Cash on Delivery
30,320,2025-10-01,DELIVERED,Debit Card
31,311,1970-01-01,SHIPPED,Net Banking
32,476,2025-08-11,PLACED,UPI
33,286,2026-07-30,DELIVERED,Credit Card
34,422,2025-10-14,PLACED,UPI
35,40,2024-08-16,PLACED,Credit Card
36,372,2025-04-30,SHIPPED,Cash on Delivery
37,337,2025-04-28,SHIPPED,Cash on Delivery
38,384,2025-04-12,RETURNED,UPI
39,346,2025-05-03,PLACED,Debit Card
40,406,2026-05-07,DELIVERED,Debit Card
41,274,2025-07-18,DELIVERED,UPI
42,282,2024-12-02,DELIVERED,Net Banking
43,392,2025-07-31,DELIVERED,Cash on Delivery
44,124,2026-06-01,RETURNED,UPI
45,185,2026-03-06,CANCELLED,Credit Card
46,372,2025-08-29,PLACED,Cash on Delivery
47,70,2025-01-17,DELIVERED,Debit Card
48,110,2025-09-24,DELIVERED,Cash on Delivery
49,262,2026-01-30,SHIPPED,Credit Card
50,20,2024-12-17,DELIVERED,UPI
51,456,2026-01-11,DELIVERED,Credit Card
52,293,2025-06-05,PLACED,UPI
53,406,2025-02-21,RETURNED,Credit Card
54,305,2025-06-15,RETURNED,Net Banking
55,41,2024-09-01,DELIVERED,UPI
56,451,2026-01-02,PLACED,Debit Card
57,383,2026-05-30,PLACED,Net Banking
58,28,2025-10-24,RETURNED,Cash on Delivery
59,77,2024-10-07,SHIPPED,Credit Card
60,345,2025-12-10,CANCELLED,Cash on Delivery
61,295,2025-08-19,DELIVERED,Net Banking
62,76,2025-10-16,RETURNED,Credit Card
63,281,2025-05-02,RETURNED,Net Banking
64,397,2024-10-10,CANCELLED,Cash on Delivery
65,102,2025-01-15,SHIPPED,Cash on Delivery
66,316,2026-03-10,SHIPPED,Credit Card
67,137,2025-09-22,RETURNED,Credit Card
68,58,2025-05-20,DELIVERED,Debit Card
69,165,2025-03-31,DELIVERED,Debit Card
70,180,2025-03-21,CANCELLED,Cash on Delivery
71,75,2026-03-13,SHIPPED,Debit Card
72,351,2025-04-08,PLACED,Credit Card
73,379,2025-07-23,SHIPPED,UPI
74,8,2026-01-12,DELIVERED,Net Banking
75,242,2025-08-05,RETURNED,Debit Card
76,105,2024-08-29,RETURNED,Net Banking
77,319,2024-12-06,PLACED,Net Banking
78,299,2025-12-05,DELIVERED,Debit Card
79,31,2025-11-04,RETURNED,UPI
80,28,2024-12-14,PLACED,Net Banking
81,339,2025-12-04,DELIVERED,Credit Card
82,10,2025-05-07,CANCELLED,Debit Card
83,195,2025-10-19,DELIVERED,Net Banking
84,444,2025-07-08,SHIPPED,Cash on Delivery
85,495,2025-06-25,PLACED,Credit Card
86,127,2026-03-24,CANCELLED,Net Banking
87,382,2024-08-25,DELIVERED,UPI
88,321,2026-03-13,RETURNED,UPI
89,416,2025-03-15,CANCELLED,Credit Card
90,484,2025-10-13,SHIPPED,UPI
91,460,2026-03-07,CANCELLED,Cash on Delivery
92,492,2025-08-23,SHIPPED,Net Banking
93,124,2025-02-05,DELIVERED,Cash on Delivery
94,169,2025-05-25,SHIPPED,Cash on Delivery
95,278,2026-07-23,SHIPPED,UPI
96,353,2025-09-28,SHIPPED,Net Banking
97,466,2024-11-17,RETURNED,Debit Card
98,163,2025-05-27,PLACED,Debit Card
99,163,2025-11-21,PLACED,UPI
100,451,2026-05-28,DELIVERED,Net Banking
101,382,2024-11-10,DELIVERED,Debit Card
102,399,2024-10-21,PLACED,Cash on Delivery
103,316,2025-06-10,SHIPPED,Cash on Delivery
104,119,2025-01-23,PLACED,Net Banking
105,69,2025-01-18,DELIVERED,Debit Card
106,437,2024-10-31,SHIPPED,Debit Card
107,116,2025-10-24,PLACED,UPI
108,487,2025-03-19,SHIPPED,Debit Card
109,34,2024-12-23,CANCELLED,Cash on Delivery
110,251,2026-06-09,SHIPPED,Net Banking
111,208,2024-12-08,CANCELLED,UPI
112,202,2026-03-25,RETURNED,Cash on Delivery
113,269,2026-04-02,PLACED,Cash on Delivery
114,56,2026-02-28,PLACED,Debit Card
115,266,2025-06-14,PLACED,Cash on Delivery
116,199,2025-10-08,PLACED,Debit Card
117,150,2025-06-20,DELIVERED,Net Banking
118,86,2025-05-07,PLACED,Cash on Delivery
119,463,2026-03-13,CANCELLED,Credit Card
120,370,2025-01-23,RETURNED,Cash on Delivery
121,70,2025-06-27,PLACED,Debit Card
122,233,2026-07-07,SHIPPED,Net Banking
123,47,2025-11-15,SHIPPED,Credit Card
124,47,2025-03-11,DELIVERED,Credit Card
125,269,2025-04-12,RETURNED,Cash on Delivery
126,487,2026-03-28,PLACED,Debit Card
127,468,2025-05-16,SHIPPED,Debit Card
128,445,2025-12-09,PLACED,Net Banking
129,158,2024-10-28,CANCELLED,UPI
130,321,2026-01-04,SHIPPED,Credit Card
131,319,1970-01-01,CANCELLED,Net Banking
132,279,2026-01-22,CANCELLED,Debit Card
133,112,2025-12-11,CANCELLED,Net Banking
134,41,1970-01-01,RETURNED,UPI
135,318,2025-12-14,SHIPPED,Credit Card
136,95,2025-04-10,PLACED,Debit Card
137,438,2025-09-01,RETURNED,UPI
138,170,2025-09-27,CANCELLED,Debit Card
139,83,2025-09-24,RETURNED,Cash on Delivery
140,404,2025-06-07,RETURNED,UPI
141,477,2025-01-28,DELIVERED,UPI
142,460,2026-06-05,CANCELLED,Cash on Delivery
143,34,2025-06-16,DELIVERED,UPI
144,270,2025-08-26,SHIPPED,Cash on Delivery
145,30,2026-03-17,RETURNED,Credit Card
146,248,2025-08-02,DELIVERED,Net Banking
147,312,2025-03-17,RETURNED,Cash on Delivery
148,182,2026-05-10,CANCELLED,Cash on Delivery
149,374,2026-07-26,SHIPPED,Cash on Delivery
150,120,2025-07-22,PLACED,Credit Card
151,13,2024-12-06,SHIPPED,Cash on Delivery
152,213,2026-07-25,RETURNED,Debit Card
153,6,2026-06-16,DELIVERED,Credit Card
154,158,2024-12-22,PLACED,Credit Card
155,352,2025-06-13,RETURNED,Cash on Delivery
156,492,2025-03-19,DELIVERED,UPI
157,473,2024-08-09,PLACED,Debit Card
158,247,2025-09-24,RETURNED,UPI
159,237,2026-05-13,PLACED,Cash on Delivery
160,154,2025-04-23,RETURNED,Cash on Delivery
161,10,2026-03-22,DELIVERED,Credit Card
162,497,2025-08-02,DELIVERED,Net Banking
163,321,2025-12-29,RETURNED,Net Banking
164,96,2024-12-18,DELIVERED,UPI
165,364,2026-01-19,CANCELLED,Debit Card
166,191,2026-07-12,SHIPPED,Cash on Delivery
167,155,2024-10-22,PLACED,Debit Card
168,468,2025-05-31,CANCELLED,Cash on Delivery
169,79,2025-10-31,RETURNED,UPI
170,398,2025-12-27,PLACED,Cash on Delivery
171,347,2025-06-27,PLACED,Net Banking
172,199,2025-06-27,PLACED,UPI
173,478,2025-06-21,PLACED,UPI
174,240,2024-12-31,DELIVERED,Credit Card
175,296,2025-12-14,SHIPPED,UPI
176,103,2024-08-29,DELIVERED,Net Banking
177,344,2025-11-30,DELIVERED,Credit Card
178,8,2025-01-28,PLACED,Debit Card
179,278,2024-11-22,SHIPPED,UPI
180,294,2025-11-23,RETURNED,UPI
181,277,2025-12-01,CANCELLED,Credit Card
182,55,2025-09-01,CANCELLED,Debit Card
183,361,2024-10-08,CANCELLED,Cash on Delivery
184,183,2025-11-15,RETURNED,Credit Card
185,499,2025-10-24,RETURNED,Debit Card
186,48,2026-02-26,CANCELLED,Credit Card
187,234,2025-06-20,CANCELLED,Net Banking
188,119,2024-08-24,RETURNED,UPI
189,468,2025-04-16,DELIVERED,UPI
190,233,2025-11-23,PLACED,UPI
191,246,2025-02-17,DELIVERED,Cash on Delivery
192,295,2024-12-14,PLACED,UPI
193,285,2025-10-23,RETURNED,Net Banking
194,206,2025-12-05,SHIPPED,Cash on Delivery
195,82,2025-08-08,DELIVERED,Debit Card
196,417,2026-01-20,CANCELLED,Cash on Delivery
197,404,2024-10-16,SHIPPED,Credit Card
198,379,2025-05-21,CANCELLED,Credit Card
199,304,2024-08-24,PLACED,Net Banking
200,91,2026-03-07,RETURNED,Credit Card
201,351,2025-11-17,CANCELLED,UPI
202,254,2026-06-24,SHIPPED,Debit Card
203,455,2026-04-12,PLACED,Debit Card
204,339,2025-12-28,CANCELLED,Cash on Delivery
205,296,2025-06-05,DELIVERED,UPI
206,292,2025-10-09,CANCELLED,UPI
207,46,2025-09-08,RETURNED,Net Banking
208,434,2026-06-08,DELIVERED,Cash on Delivery
209,496,2025-01-03,DELIVERED,Credit Card
210,441,2026-05-29,CANCELLED,Cash on Delivery
211,202,2026-07-17,CANCELLED,Net Banking
212,223,2024-12-10,CANCELLED,Debit Card
213,97,2025-07-28,DELIVERED,Net Banking
214,79,2025-05-20,SHIPPED,Debit Card
215,6,1970-01-01,CANCELLED,Net Banking
216,500,2026-06-17,CANCELLED,Net Banking
217,458,2025-02-08,CANCELLED,Cash on Delivery
218,93,2024-12-21,CANCELLED,Net Banking
219,182,2025-08-08,PLACED,Cash on Delivery
220,256,2026-08-04,RETURNED,UPI
221,211,2026-02-11,PLACED,Credit Card
222,291,2026-07-23,RETURNED,Net Banking
223,493,2025-01-09,RETURNED,UPI
224,239,2025-04-14,RETURNED,Credit Card
225,126,2024-11-18,PLACED,Cash on Delivery
226,409,2025-03-22,DELIVERED,Cash on Delivery
227,-1,2024-09-26,CANCELLED,Cash on Delivery
228,376,2026-07-02,DELIVERED,UPI
229,86,2024-08-30,DELIVERED,Cash on Delivery
230,134,2025-01-14,SHIPPED,Cash on Delivery
231,27,2025-10-29,RETURNED,Credit Card
232,147,2025-07-31,PLACED,UPI
233,130,2025-07-29,DELIVERED,Credit Card
234,380,2025-02-13,RETURNED,Debit Card
235,338,2026-01-20,DELIVERED,Debit Card
236,249,2025-11-18,PLACED,UPI
237,44,2025-07-17,SHIPPED,Net Banking
238,386,2025-02-10,SHIPPED,Net Banking
239,372,2026-04-17,DELIVERED,Credit Card
240,329,2024-12-22,PLACED,Debit Card
241,238,2025-07-31,RETURNED,Debit Card
242,195,2025-08-30,DELIVERED,Debit Card
243,272,1970-01-01,CANCELLED,Net Banking
244,348,2024-11-01,PLACED,Credit Card
