seller_name,Total_Revenue
PRE███TI ███LEC██████,1995
AAR███LIF███YLE█████████LIM██████,14512
Blo███Exi███riv█████████ed,854
Gun███al ███tch█████████E L█████████,2100
Home,1110
ICO███ FA███ON █████████ PV██████,6748
CRO███OAD███LOT█████████LTD███,2327
Kis███App███ls █████████imi██████,28823
Kri███n A███rel█████████Lim██████,1102
STR███LIN███PPA█████████ATE█████████,1584
MAX███ IN███NAT██████,1087
Bil███nka███Pri█████████ted███,349
Br ███erp███es,799
BRU███SAL███PVT█████████,2878
IC4███dus███es █████████imi██████,625
FLE███LE ███ARE███,899
EDG███QUA███,560
Tra███ion███Exp█████████rat██████,839
VEL███TTE███FES█████████LTD███,1333
UDA███ASH███,3291
Tru███t C███erc███,12445
Gin███ Jo███Ltd███,540
ANI███OTH███,989
ITS███FFE███T,999
A&V███WEL███VT ██████,425
H &███Hen███ & █████████eta█████████████████████,7136
Bew███of ███nds█████████Lim██████,549
CLA███ RE███NCE█████████ PV██████,16497
GAR███CRY███S L█████████,509
ADI███ AP███ELS███,321
KPA███PAR███ PR█████████ITE███,659
Bat███ndi███imi██████,988
CHA███LIF███YLE█████████,689
Pun███ Ap███els█████████,864
TIM███T R███IL █████████RIV████████████,1596
AK ███erp███es,770
SHI███TRA███S,605
OM ███THI███,4010
Kor███yst███,542
Spo███ IQ███,1149
S D███tai███vt.██████,606
Abh███Ove███as ██████,1679
VER███ODA███TAI█████████,1329
Men███Bra███Tec█████████ Pr███████████████,3463
IND███ NE███E -██████,2980
Fla███ech███tai███,20965
Ret███Net███,21493
S &███Mar███ing███,1348
Duk███ash███s I█████████ted███,259
Kas███r L███her█████████Pvt██████,223
RUB███S C███,2999
Kot███da ███est█████████Ltd███,1442
Ind███ewe███ash█████████ Lt███,1399
Zak███i I███tec█████████ Li██████,2979
M/S███EPA███MPE███,2078
Kaz███ash███ PV█████████JIT███,1476
MAD███R P███T P█████████MIT███,671
KAR███ OV███EAS███,693
BRA███SI ███AIL███,771
V S███ERS███,2349
DOL███ IN███TRI█████████,582
ETE███LIA███EAT█████████CHA█████████████████████ED,699
WHI███SHR███PVT██████,1429
Omn███ch ███ail███,28798
Ama███hoe███nd █████████are███,2837
CS ███est███,1680
VOX███,1090
BEG███01 ███EST██████,2799
GEN███TIO███,552
Moh███Clo███ng █████████Ltd███,1017
V S███ CR███ION█████████,955
Sle███ Ap███els███,1475
CUT███INS███IVA█████████D,1169
PRE███R A███REL███,699
TIE███IBB███,624
AVY███ FA███ONT█████████TE ███████████████,1046
VOL███FAS███N P█████████,3839
SAN███UNE███,384
Bha███vna███Imp█████████ect███,935
PRE███RE ███AIL█████████PRI███████████████,2154
KRU███A E███RPR██████,899
HOU███OF ███NDS█████████LLP███,225
SWARR,1278
Nag███ Li███tyl███,3749
SAR███HOM███ASY█████████RIV████████████,7998
TEA███OD,4079
PUR███ART███NTE█████████,335
Fix███ma ███ia █████████,1250
Poc███uch███Kid█████████,699
BRI███ RE███L L███,679
AAK███INT███TES█████████LIM██████,539
BES███NIT███IND█████████TS █████████,1749
DHV███LOB███PRI█████████TED███,799
V-M███ Re███l L█████████,449
CLI███WIS███NTE█████████RIV████████████,990
K A███POR███PVT██████,615
DLA███OSS███IVA█████████D,499
SEJ███RNI███NGS█████████LIM██████,554
GUR███PA ███EST█████████NY,2080
